param,importance,method
max_depth,0.3143165634093785,manual_bo
bootstrap,0.30913565608332283,manual_bo
max_features,0.12595443689923985,manual_bo
min_samples_leaf,0.11989337107414044,manual_bo
min_samples_split,0.06077572268156667,manual_bo
n_estimators,0.047252368198820054,manual_bo
criterion,0.022671881653531633,manual_bo
max_depth,0.3576902200038401,manual_random
min_samples_leaf,0.26494802176489257,manual_random
max_features,0.15022846948356033,manual_random
n_estimators,0.1149340152340364,manual_random
min_samples_split,0.06262172201130684,manual_random
criterion,0.031069595243507893,manual_random
bootstrap,0.018507956258855894,manual_random
