method,step,score,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,best_so_far
manual_bo,1,0.7669270833333334,202,20,9,1,0.2160236694993735,False,log_loss,0.7669270833333334
manual_bo,2,0.7578125,189,19,20,4,0.8014338174548925,False,gini,0.7669270833333334
manual_bo,3,0.7630208333333334,132,14,14,7,0.9642516633769902,False,log_loss,0.7669270833333334
manual_bo,4,0.76953125,107,10,16,5,0.5375996598778103,False,gini,0.76953125
manual_bo,5,0.76953125,177,10,12,15,0.8705638226147836,False,entropy,0.76953125
manual_bo,6,0.76953125,191,16,17,15,0.674539349971331,True,log_loss,0.76953125
manual_bo,7,0.7734375,330,30,2,1,0.2948484816738775,True,log_loss,0.7734375
manual_bo,8,0.7760416666666667,88,5,4,6,0.4400154318371776,True,entropy,0.7760416666666667
manual_bo,9,0.7630208333333333,287,3,18,15,0.8718141162676933,True,entropy,0.7760416666666667
manual_bo,10,0.765625,89,11,2,15,0.6876117603958101,True,gini,0.7760416666666667
manual_bo,11,0.76953125,70,12,16,12,0.3724242191530392,True,log_loss,0.7760416666666667
manual_bo,12,0.7721354166666666,198,16,13,2,0.5463402681213712,True,log_loss,0.7760416666666667
manual_bo,13,0.7682291666666666,63,28,11,7,0.22119198093029402,True,gini,0.7760416666666667
manual_bo,14,0.7721354166666667,306,23,4,1,0.44733953749295896,True,gini,0.7760416666666667
manual_bo,15,0.76953125,336,15,4,6,0.5160931344971962,True,entropy,0.7760416666666667
manual_bo,16,0.7604166666666666,75,13,12,2,0.5526655046502842,False,entropy,0.7760416666666667
manual_bo,17,0.7369791666666666,241,2,17,2,0.29398863972835576,True,entropy,0.7760416666666667
manual_bo,18,0.7591145833333334,142,7,10,2,0.7691116993712563,False,gini,0.7760416666666667
manual_bo,19,0.7747395833333334,59,7,3,4,0.37653038138402356,True,entropy,0.7760416666666667
manual_bo,20,0.7591145833333334,197,3,2,11,0.5564869258496469,False,log_loss,0.7760416666666667
manual_bo,21,0.76953125,323,8,19,5,0.541560618252565,True,log_loss,0.7760416666666667
manual_bo,22,0.7734375,160,17,14,2,0.32910707168673636,True,log_loss,0.7760416666666667
manual_bo,23,0.76953125,174,27,20,8,0.5703976256777757,True,log_loss,0.7760416666666667
manual_bo,24,0.7565104166666666,253,23,4,12,0.21008256922803634,False,entropy,0.7760416666666667
manual_bo,25,0.7578125,273,23,7,4,0.4144311046974085,False,gini,0.7760416666666667
manual_bo,26,0.77734375,203,22,14,3,0.9383125051950769,True,entropy,0.77734375
manual_bo,27,0.7682291666666666,347,18,4,6,0.30557233066662665,True,entropy,0.77734375
manual_bo,28,0.7669270833333334,150,10,15,3,0.34769830793629614,False,gini,0.77734375
manual_bo,29,0.7721354166666666,323,15,2,6,0.7202025783710047,True,entropy,0.77734375
manual_bo,30,0.7656249999999999,290,4,19,3,0.31965012605631005,True,log_loss,0.77734375
manual_bo,31,0.76953125,252,24,12,6,0.8267545179911187,True,entropy,0.77734375
manual_bo,32,0.7682291666666666,183,16,17,13,0.6669968827949533,True,log_loss,0.77734375
