method,step,score,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,best_so_far
optuna_random,1,0.7643229166666667,162,29,15,9,0.3248149123539492,False,gini,0.7643229166666667
optuna_random,2,0.7669270833333334,56,30,17,4,0.3454599737656805,True,gini,0.7669270833333334
optuna_random,3,0.7721354166666667,234,6,7,6,0.5648559873736287,False,entropy,0.7721354166666667
optuna_random,4,0.7630208333333333,232,6,3,15,0.9725056264596474,False,entropy,0.7721354166666667
optuna_random,5,0.765625,86,16,2,14,0.40702398528001354,False,entropy,0.7721354166666667
optuna_random,6,0.76953125,341,24,19,14,0.6783199830488682,False,log_loss,0.7721354166666667
optuna_random,7,0.7747395833333334,166,9,17,6,0.4247476077499046,False,log_loss,0.7747395833333334
optuna_random,8,0.7669270833333334,282,7,2,13,0.7654858750780937,True,entropy,0.7747395833333334
optuna_random,9,0.78515625,309,20,8,1,0.4487858573725298,True,entropy,0.78515625
optuna_random,10,0.7591145833333333,85,22,16,9,0.8167737439636489,True,gini,0.78515625
optuna_random,11,0.76171875,59,20,7,8,0.9260531791408744,True,gini,0.78515625
optuna_random,12,0.7643229166666666,137,6,19,13,0.7067230052083389,False,entropy,0.78515625
optuna_random,13,0.7669270833333334,293,27,8,2,0.3823481300335534,True,gini,0.78515625
optuna_random,14,0.7708333333333334,175,8,4,6,0.9543277631300153,True,log_loss,0.78515625
optuna_random,15,0.76171875,339,9,11,5,0.4278723955019741,True,gini,0.78515625
optuna_random,16,0.7669270833333334,323,8,4,8,0.9885203632884807,True,gini,0.78515625
optuna_random,17,0.765625,160,20,14,9,0.27223181604352664,False,log_loss,0.78515625
optuna_random,18,0.7578125,253,2,11,4,0.71613823232756,True,entropy,0.78515625
optuna_random,19,0.7604166666666667,152,5,19,14,0.4063533021721245,True,gini,0.78515625
optuna_random,20,0.7578125,78,28,19,10,0.4712238328389606,True,gini,0.78515625
optuna_random,21,0.7591145833333334,243,4,5,14,0.685143247727672,True,gini,0.78515625
optuna_random,22,0.7630208333333334,215,22,14,4,0.7697433770780286,True,log_loss,0.78515625
optuna_random,23,0.7669270833333334,247,18,3,6,0.4121618941453804,True,entropy,0.78515625
